variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast
GALNT14,45.90823848378698,0.2654853450887373,0.4986946784196029,0.5323604934587998,0.5944763418564738,0.9998724362712248,Th1
AP3M2,7259.254252963399,-0.0685157773862889,0.1324124698256923,-0.5174420315283227,0.6048476251278501,0.9998724362712248,Th1
GPR174,2985.6794506314923,0.1364410459832033,0.2647703097058682,0.5153185269706972,0.6063304545438155,0.9998724362712248,Th1
EPB41L4B,111.03275446301832,0.398184745529665,0.7817032200267445,0.5093809713564208,0.6104852116450702,0.9998724362712248,Th1
POU3F1,34.48437497305583,0.3035480735994908,0.5983177720089317,0.5073358803638537,0.6119191670699058,0.9998724362712248,Th1
EMC9,7613.15769930029,-0.0360507881295701,0.0719264684073968,-0.5012172699120413,0.6162182213876543,0.9998724362712248,Th1
UMAD1,2483.790927310972,0.0951837677466903,0.1902443910189526,0.5003236481080164,0.616847205340233,0.9998724362712248,Th1
SMCR8,5130.052358516668,-0.0672952803347495,0.137062606949274,-0.4909820543516666,0.6234391401648737,0.9998724362712248,Th1
GFPT1,7815.144920158084,-0.0653474764889777,0.1359127672337864,-0.4808045470560698,0.630655418246324,0.9998724362712248,Th1
TCF7,2732.2475072706616,0.3481523358984849,0.7333015068618433,0.4747737903722569,0.6349482161931825,0.9998724362712248,Th1
FANCC,3633.6834189248784,0.0502118967573644,0.1057723014681413,0.4747168782414013,0.6349887860600432,0.9998724362712248,Th1
ETV4,783.9701251468335,-0.2655396097272631,0.5677224329019468,-0.4677278795730191,0.6399792011606806,0.9998724362712248,Th1
GPR148,7.083300722775871,-0.4179222057040787,0.8978064545744314,-0.465492538591937,0.6415787789640782,0.9998724362712248,Th1
SMPD4,8353.714023219813,0.0513359270860276,0.1163068318835436,0.4413835907544071,0.6589353196556031,0.9998724362712248,Th1
MYO18A,6215.650317922443,0.0769441302820697,0.1775297665008096,0.4334153747772707,0.664713032944762,0.9998724362712248,Th1
RPAIN,14583.481539500644,0.0383059340107712,0.0884410688949789,0.4331238245916998,0.6649248153856753,0.9998724362712248,Th1
DOP1B,950.9355988096594,-0.0907425286934064,0.2115781763561793,-0.4288841611936704,0.6680075272820654,0.9998724362712248,Th1
CSDE1,16164.605907639709,0.0527199213073946,0.1233487449627591,0.4274054131909616,0.6690840653277225,0.9998724362712248,Th1
MRGPRX2,2.016266386685845,0.931443911439004,2.1995594157902363,0.423468402241075,0.671953547628295,,Th1
PITRM1,10666.572602004326,0.0527587678215103,0.1269341524095706,0.4156388711784746,0.6776742782830069,0.9998724362712248,Th1
TTC13,3500.6620634483743,0.0881860234235593,0.2132480706638637,0.4135372627242394,0.6792130274304662,0.9998724362712248,Th1
B3GALT5,1.2870492393796376,1.3662580421697677,3.3900965589475187,0.4030144918922111,0.6869375635090356,,Th1
AHCY,8964.124368427567,0.0800023200842361,0.1999695511357942,0.4000725091887042,0.6891031116156805,0.9998724362712248,Th1
PLBD1,4.082178539789228,-0.4753301822320881,1.2028883229858396,-0.3951573667721801,0.6927267540218233,,Th1
GPR176,25.74334678999041,0.2485495525386064,0.6412994848434077,0.3875717327284258,0.6983329909361932,0.9998724362712248,Th1
CRHR1,1.120195191396976,0.6681892121673364,1.7332634075692483,0.3855093283855879,0.6998600965141935,,Th1
TMEM186,2742.7258186728805,0.0253506188227746,0.0661825037140944,0.383041096968592,0.7016892926131024,0.9998724362712248,Th1
RABIF,4573.583620430241,-0.0606864835670234,0.1625388588249227,-0.3733660000184407,0.7088760609364163,0.9998724362712248,Th1
CAMLG,8764.014818180889,-0.0231468503197301,0.0633378857155182,-0.3654503155298562,0.7147752881930101,0.9998724362712248,Th1
GPT2,1058.4475186050374,0.1171366380387306,0.3246283390477928,0.3608330633804752,0.7182242445780039,0.9998724362712248,Th1
THAP7,3325.120674226157,-0.0376390645156224,0.1059477390423692,-0.3552606677200569,0.7223943186658582,0.9998724362712248,Th1
CYP26A1,4.74360231763924,-0.4361667234517807,1.2375458226001326,-0.3524449078866245,0.7245046281440948,,Th1
ACTN3,8.526172698159925,-0.2419483480519609,0.6935529033641783,-0.3488534859826201,0.7271993067565126,0.9998724362712248,Th1
ZNF264,3830.221610071421,0.0598882343861612,0.1717649489634236,0.348663884847159,0.7273416604719689,0.9998724362712248,Th1
EXOSC2,5980.41164324915,-0.0474038805122965,0.1381856667236541,-0.3430448442029491,0.7315647239776026,0.9998724362712248,Th1
SNAPIN,6468.736126743597,-0.0626011148293072,0.1914012769531825,-0.3270673833833393,0.7436169205979953,0.9998724362712248,Th1
ATP6V0C,8979.757051355724,0.0286321706699942,0.0882051066809612,0.3246089908780125,0.7454770217023093,0.9998724362712248,Th1
OPRL1,80.11947794983621,0.1269246041980652,0.3962987569516839,0.320275050001077,0.7487598350383411,0.9998724362712248,Th1
TUT1,3107.1567470639607,-0.035662436814873,0.112758080188178,-0.3162738914617667,0.7517946264135852,0.9998724362712248,Th1
CD300A,3922.5670417365895,0.1676136502400032,0.5351073577465759,0.3132336863126898,0.7541031272446599,0.9998724362712248,Th1
MIA3,7800.267218274662,0.0489506150848693,0.1638148825539667,0.2988166540286301,0.7650799431183368,0.9998724362712248,Th1
PPME1,5056.48304538386,-0.0490188833495405,0.1678909739314601,-0.2919685448340543,0.7703106741981143,0.9998724362712248,Th1
C4orf48,4847.619080594998,0.059056047622683,0.2047488565158565,0.2884316358470579,0.7730163542927225,0.9998724362712248,Th1
PTPRC,29489.125315981764,0.0477475497431032,0.1679755333003879,0.2842530028329606,0.7762164994821588,0.9998724362712248,Th1
ZNF567,2362.2993458608425,0.0420911364384569,0.1483043606405617,0.2838159057269476,0.7765514645446764,0.9998724362712248,Th1
ENKUR,2.0621056685842034,0.4292700190846089,1.53780021972937,0.2791455051034874,0.780133162479173,,Th1
DUSP18,2177.946129221892,0.0552859137733191,0.2015835769413458,0.2742580254412568,0.7838863390198167,0.9998724362712248,Th1
THOC1,5697.994079986174,-0.0267169727955044,0.098746357878357,-0.2705616021647737,0.7867282316151787,0.9998724362712248,Th1
USF1,5624.021092144207,-0.0403825872914622,0.1500257365011099,-0.269171065133638,0.7877980454845678,0.9998724362712248,Th1
DNAJC2,8933.061804949511,-0.0322363027061782,0.1217729528709347,-0.2647246531037562,0.791221584404838,0.9998724362712248,Th1
